run,type,module,name,attrname,attrvalue,value
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].appl,generatedWSMs,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].appl,receivedWSMs,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].appl,generatedBSMs,,,140
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].appl,receivedBSMs,,,2720
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].appl,generatedWSAs,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].appl,receivedWSAs,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.phy80211p,busyTime,,,0.020205714285714
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,ReceivedBroadcasts,,,2720
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,SentPackets,,,140
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,SentAcknowledgements,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,RetriesExceeded,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,SNIRLostPackets,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,RXTXLostPackets,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,TotalLostPackets,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,TooLittleTime,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,TimesIntoBackoff,,,140
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,SlotsBackoff,,,226
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,NumInternalContention,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,totalBusyTime,,,0.29758
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,retriesExceeded:count,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,sentAcks:count,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,sentPackets:count,,,140
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,collisions:count,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].nic.mac1609_4,channelBusy:timeavg,,,0.021255714285714
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].veinsmobility,startTime,,,13.1
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].veinsmobility,totalTime,,,13.9
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].veinsmobility,stopTime,,,27.1
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].veinsmobility,minSpeed,,,0.25936657659966
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].veinsmobility,maxSpeed,,,12.281961331045
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].veinsmobility,totalDistance,,,134.31170369652
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[13].veinsmobility,totalCO2Emission,,,43.327153702491
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].appl,generatedWSMs,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].appl,receivedWSMs,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].appl,generatedBSMs,,,258
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].appl,receivedBSMs,,,4637
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].appl,generatedWSAs,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].appl,receivedWSAs,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.phy80211p,busyTime,,,0.018691782945736
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,ReceivedBroadcasts,,,4637
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,SentPackets,,,258
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,SentAcknowledgements,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,RetriesExceeded,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,SNIRLostPackets,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,RXTXLostPackets,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,TotalLostPackets,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,TooLittleTime,,,0
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,TimesIntoBackoff,,,258
Scenario1-7-20260625-12:04:30-4514,scalar,Scenario.node[6].nic.mac1609_4,SlotsBackoff,,,383
