run,type,module,name,attrname,attrvalue,value
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].appl,generatedWSMs,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].appl,receivedWSMs,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].appl,generatedBSMs,,,136
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].appl,receivedBSMs,,,2604
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].appl,generatedWSAs,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].appl,receivedWSAs,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.phy80211p,busyTime,,,0.01991294117647
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,ReceivedBroadcasts,,,2604
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,SentPackets,,,136
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,SentAcknowledgements,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,RetriesExceeded,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,SNIRLostPackets,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,RXTXLostPackets,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,TotalLostPackets,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,TooLittleTime,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,TimesIntoBackoff,,,136
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,SlotsBackoff,,,198
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,NumInternalContention,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,totalBusyTime,,,0.285096
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,retriesExceeded:count,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,sentAcks:count,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,sentPackets:count,,,136
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,collisions:count,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].nic.mac1609_4,channelBusy:timeavg,,,0.02096294117647
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].veinsmobility,startTime,,,13.1
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].veinsmobility,totalTime,,,13.5
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].veinsmobility,stopTime,,,26.7
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].veinsmobility,minSpeed,,,0.2570972159754
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].veinsmobility,maxSpeed,,,12.72051385855
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].veinsmobility,totalDistance,,,133.68005308647
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[13].veinsmobility,totalCO2Emission,,,44.287954097823
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].appl,generatedWSMs,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].appl,receivedWSMs,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].appl,generatedBSMs,,,253
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].appl,receivedBSMs,,,4468
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].appl,generatedWSAs,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].appl,receivedWSAs,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.phy80211p,busyTime,,,0.018366482213438
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,ReceivedBroadcasts,,,4468
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,SentPackets,,,253
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,SentAcknowledgements,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,RetriesExceeded,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,SNIRLostPackets,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,RXTXLostPackets,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,TotalLostPackets,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,TooLittleTime,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,TimesIntoBackoff,,,253
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,SlotsBackoff,,,388
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,NumInternalContention,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,totalBusyTime,,,0.491237
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,retriesExceeded:count,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,sentAcks:count,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,sentPackets:count,,,253
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,collisions:count,,,0
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].nic.mac1609_4,channelBusy:timeavg,,,0.019416482213438
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].veinsmobility,startTime,,,6.1
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].veinsmobility,totalTime,,,25.2
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].veinsmobility,stopTime,,,31.4
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].veinsmobility,minSpeed,,,0.25331873658695
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].veinsmobility,maxSpeed,,,14.28565076992
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].veinsmobility,totalDistance,,,278.38743611559
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[6].veinsmobility,totalCO2Emission,,,92.047378624081
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[7].appl,generatedWSMs,,,1
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[7].appl,receivedWSMs,,,29
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[7].appl,generatedBSMs,,,297
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[7].appl,receivedBSMs,,,6086
Scenario2-2-20260625-12:09:51-4635,scalar,Scenario.node[7].appl,generatedWSAs,,,0
