run,type,module,name,attrname,attrvalue,value
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].appl,generatedWSMs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].appl,receivedWSMs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].appl,generatedBSMs,,,250
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].appl,receivedBSMs,,,841
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].appl,generatedWSAs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].appl,receivedWSAs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.phy80211p,busyTime,,,0.0039561600000001
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,ReceivedBroadcasts,,,841
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,SentPackets,,,250
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,SentAcknowledgements,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,RetriesExceeded,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,SNIRLostPackets,,,110
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,RXTXLostPackets,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,TotalLostPackets,,,110
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,TooLittleTime,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,TimesIntoBackoff,,,250
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,SlotsBackoff,,,409
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,NumInternalContention,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,totalBusyTime,,,0.125154
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,retriesExceeded:count,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,sentAcks:count,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,sentPackets:count,,,250
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,collisions:count,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].nic.mac1609_4,channelBusy:timeavg,,,0.0050061600000001
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].veinsmobility,startTime,,,6.1
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].veinsmobility,totalTime,,,24.9
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].veinsmobility,stopTime,,,31.1
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].veinsmobility,minSpeed,,,0.2489653699901
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].veinsmobility,maxSpeed,,,14.491174214576
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].veinsmobility,totalDistance,,,278.10136171825
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[3].veinsmobility,totalCO2Emission,,,93.768775595919
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].appl,generatedWSMs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].appl,receivedWSMs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].appl,generatedBSMs,,,501
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].appl,receivedBSMs,,,1236
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].appl,generatedWSAs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].appl,receivedWSAs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.phy80211p,busyTime,,,0.0030182834331338
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,ReceivedBroadcasts,,,1236
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,SentPackets,,,501
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,SentAcknowledgements,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,RetriesExceeded,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,SNIRLostPackets,,,218
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,RXTXLostPackets,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,TotalLostPackets,,,218
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,TooLittleTime,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,TimesIntoBackoff,,,501
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,SlotsBackoff,,,728
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,NumInternalContention,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,totalBusyTime,,,0.203821
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,retriesExceeded:count,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,sentAcks:count,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,sentPackets:count,,,501
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,collisions:count,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].nic.mac1609_4,channelBusy:timeavg,,,0.0040682834331337
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].veinsmobility,startTime,,,0.1
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].veinsmobility,totalTime,,,50
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].veinsmobility,stopTime,,,50.2
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].veinsmobility,minSpeed,,,0.25162613410479
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].veinsmobility,maxSpeed,,,14.014867958618
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].veinsmobility,totalDistance,,,570.89168882963
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[0].veinsmobility,totalCO2Emission,,,163.83653978317
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[8].appl,generatedWSMs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[8].appl,receivedWSMs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[8].appl,generatedBSMs,,,382
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[8].appl,receivedBSMs,,,2516
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[8].appl,generatedWSAs,,,0
Scenario4-3-20260627-16:41:14-6670,scalar,Scenario.node[8].appl,receivedWSAs,,,0
